1179,72,11183,2023-12-28,2,300.00,12.33,Debit Card
1180,45,11093,2023-11-09,7,25.00,2.18,Cash
1181,94,11194,2023-08-17,1,500.00,55.42,Credit Card
1182,65,11081,2023-02-23,10,600.00,74.56,Debit Card
1183,68,11118,2023-08-30,8,900.00,79.61,Cash
1184,76,11037,2023-09-03,10,700.00,127.81,Credit Card
1185,86,11008,2024-02-13,3,700.00,2.09,Debit Card
1186,93,11008,2023-07-21,3,400.00,69.32,Cash
1187,63,11066,2023-07-18,8,400.00,48.16,Credit Card
1188,69,11182,2024-01-24,10,1000.00,14.05,Cash
1189,82,11004,2023-08-24,9,300.00,32.83,Debit Card
1190,64,11007,2023-08-21,9,500.00,21.48,Credit Card
1191,66,11004,2023-04-14,4,700.00,2.51,Credit Card
1192,16,11070,2024-01-13,5,25.00,0.55,Debit Card
1193,37,11164,2023-02-24,1,25.00,2.59,Cash
1194,44,11187,2023-11-21,7,40.00,0.45,Cash
1195,96,11050,2023-12-22,8,700.00,108.06,Debit Card
1196,35,11055,2023-10-28,7,100.00,5.38,Cash
1197,4,11179,2023-06-23,3,80.00,1.61,Debit Card
1198,67,11024,2023-04-09,4,800.00,33.94,Cash
1199,81,11109,2023-07-22,9,200.00,18.57,Credit Card
1200,24,11010,2023-11-18,4,150.00,1.24,Debit Card
1201,51,11175,2023-10-20,6,200.00,19.69,Debit Card
1202,76,11140,2023-10-02,9,700.00,108.55,Cash
1203,5,11179,2023-07-07,9,50.00,8.20,Debit Card
1204,26,11191,2023-12-12,8,20.00,2.83,Cash
1205,53,11142,2023-09-08,8,400.00,48.10,Debit Card
1206,42,11142,2023-09-27,1,50.00,7.62,Cash
1207,96,11031,2023-12-08,2,700.00,118.40,Debit Card
1208,68,11047,2023-08-05,10,900.00,39.94,Debit Card
1209,73,11126,2023-09-23,7,400.00,3.66,Debit Card
1210,3,11130,2023-10-02,7,1500.00,38.02,Debit Card
1211,58,11013,2023-05-28,7,900.00,1.69,Debit Card
1212,88,11127,2023-04-09,3,900.00,146.00,Credit Card
1213,9,11070,2023-04-22,7,500.00,70.97,Cash
1214,9,11048,2023-11-15,6,500.00,39.95,Debit Card
1215,19,11109,2023-08-05,1,40.00,6.92,Cash
1216,64,11162,2023-03-26,6,500.00,73.17,Credit Card
